ilkid	gp	minutes	pts	reb	asts	turnover	fga	fgm
ATTLEAL01 	711	17826	6328	2463	2483	0	5545	2499
AUBUCCH01 	30	0	65	0	20	0	91	23
AUGMOST01 	1001	21659	7990	3217	1561	1248	6480	3037
AugusDJ01 	72	1906	850	133	250	119	621	267
AugusJa01 	27	157	42	33	4	6	37	19
AUSTIIS01 	432	8350	3285	2030	538	701	2901	1295
AUSTIJO01 	41	692	317	64	58	57	279	108
AUSTIJO01 	4	61	23	7	4	0	22	5
AUSTIKE01 	7	28	12	3	1	3	13	6
AVENTAN01 	352	6729	1958	1584	278	416	2019	814
AVERIWI01 	130	2221	1085	161	330	143	1103	432
AVERIWI01 	236	5942	3349	519	748	590	3200	1311
AVERYWI01 	142	1205	379	93	199	106	415	137
AWTREDE01 	733	14159	3516	3342	1467	245	3009	1382
AzubuKe01 	196	4786	2046	788	220	192	1652	751
BABICMI01 	21	87	37	20	10	10	32	12
BACHJO01  	34	0	119	0	25	0	119	34
BACONHE01 	47	425	166	82	38	64	164	60
BAECHJI01 	321	8256	3123	1009	685	0	2876	1117
BAGARDA01 	95	975	251	238	37	72	269	97
BAGLEJO01 	665	17120	5802	1729	3980	1512	5398	2359
BAILECA01 	1	7	2	0	0	2	1	1
BAILEGU01 	147	1346	389	244	168	45	384	156
BAILEJA01 	595	11625	5246	2988	488	1057	4228	2045
BAILETH01 	928	24873	11834	4718	1298	1444	10056	4753
BAILETO01 	73	698	241	126	43	35	226	92
BAKERJI01 	5	40	6	14	4	6	15	3
BAKERMA01 	1	2	0	0	0	1	1	0
BAKERMA02 	5	19	0	2	1	1	1	0
BAKERNO01 	4	0	0	0	0	0	1	0
BAKERVI01 	791	25737	11839	5867	1508	1756	9675	4692
BalkmRe01 	185	2796	822	713	118	121	658	340
BALLAGR01 	802	22073	9953	4858	1733	1059	8942	4220
BALLCE01  	7	26	8	11	0	2	8	3
BALTIHE01 	58	0	138	0	16	0	263	53
BANKSGE01 	468	13074	5305	2718	1335	835	3961	2134
BANKSMA01 	324	5307	1946	498	700	414	1643	702
BANKSWA01 	16	154	41	49	8	0	34	17
BANNIKE01 	253	3867	1501	893	111	347	1202	586
BANTOMI01 	706	19725	8568	4517	1623	946	7362	3446
BARBEJO01 	5	5	7	6	0	0	8	2
BARBOLE01 	422	10930	5456	1029	1146	652	4283	2018
BARDOST01 	33	299	73	60	44	22	85	28
BareaJo01 	155	2236	883	243	348	152	801	344
BargnAn01 	221	5946	2745	959	233	330	2308	978
BARKECL01 	149	494	557	181	294	0	637	201
BARKETO01 	98	1830	639	520	75	34	592	250
BARKLCH01 	1073	39330	23757	12546	4215	3376	15605	8435
BARKLER01 	27	266	77	21	40	17	90	32
BARKSDO01 	262	7460	2895	2088	549	0	2747	1016
BARNEDI01 	971	28937	15358	2812	2729	0	13227	6034
BARNEHA01 	22	126	43	26	5	0	64	18
BARNEJI01 	454	9455	3997	2939	377	0	3607	1548
BARNEJI02 	732	17410	8536	2259	2232	0	7642	3326
BARNEMA01 	144	5563	3465	1927	399	537	2916	1458
BARNEMA01 	171	3718	1569	946	252	222	1444	638
BARNEMA02 	363	7366	2530	1500	640	439	2172	942
BARNENA01 	12	73	27	8	8	8	26	12
BARNHJO01 	426	10054	3648	1193	1205	0	3583	1490
BARNHJO01 	163	3871	1437	308	488	12	1407	534
BARNHLE01 	344	7279	3232	1506	1116	0	3689	1356
BARNHNO01 	4	10	4	3	1	0	6	2
BARREAN01 	67	819	219	71	135	46	241	89
BARREER01 	131	2092	641	343	229	0	724	267
BARREMI01 	187	5300	2500	592	730	39	2215	974
BARRJO01  	58	0	295	0	54	0	438	124
BARRMI01  	234	5117	1519	502	686	428	1292	631
BARRMI01  	73	1224	285	130	175	0	279	122
BARRODA01 	850	19481	8901	1609	2837	1213	7148	3281
BARROEA01 	82	1139	404	249	35	64	426	161
BARRTH01  	31	145	61	20	28	0	62	25
BARRYBR01 	912	23637	8488	2780	2892	1289	6301	2896
BARRYDR01 	60	598	134	67	111	55	103	43
BARRYJO01 	821	13878	4715	1511	1784	808	3672	1595
BARRYRI01 	226	9328	6884	1695	935	404	5120	2443
BARRYRI01 	794	28825	18395	5168	4017	574	16163	7252
BARTEED01 	32	0	135	84	32	0	183	46
BARTOVI01 	38	165	34	60	3	0	59	15
BASDEED01 	19	144	39	28	8	9	37	15
BASKEJE01 	21	105	26	28	3	0	26	8
BASSBR01  	210	3559	1450	825	107	189	1115	541
BASSETI01 	238	5642	1543	1652	291	281	1413	650
BASSETI01 	235	5588	1390	1496	285	192	1470	570
BASTOMA01 	105	829	286	175	26	54	172	106
BATEEME01 	46	494	156	114	27	40	156	61
BATESBI01 	187	3328	2197	313	352	274	1885	893
BATISES01 	71	581	121	174	11	42	96	42
BATISMI01 	75	1248	481	257	52	69	467	197
BATTISH01 	618	20715	6169	2940	1151	643	4934	2205
BATTITO01 	757	16844	4904	4098	491	685	4200	2065
BATTLJO01 	612	10910	5338	824	1257	659	4430	2054
BATTLKE01 	134	1795	627	327	106	91	482	243
BATTODA01 	58	589	188	123	32	32	201	90
BATTSLL01 	58	1317	598	197	106	89	680	249
BatumNi01 	79	1454	426	220	74	50	361	161
BAUMHFR01 	45	0	631	0	54	0	856	255
BAUMJO01  	65	556	292	129	31	0	304	126
BAUMJO01  	179	2841	1206	537	110	147	1008	504
BAXTELO01 	162	1885	637	466	40	108	530	247
BayleJe01 	53	652	228	57	78	56	189	69
BAYLOEL01 	846	33863	23149	11463	3650	0	20171	8693
BAYNEHO01 	69	1181	338	456	71	117	361	130
BAZARSE01 	10	74	30	7	14	7	22	11
BEACHED01 	12	0	22	25	3	0	38	8
BEARDAL01 	12	118	30	46	0	12	23	12
BEARDBU01 	605	14283	5622	2042	2189	164	4495	2187
BEARDRA01 	126	0	2006	251	551	0	2046	749
BEASLCH01 	281	7347	2633	704	860	318	2067	943
BEASLJE01 	2	5	2	1	0	0	3	1
BEASLJO01 	506	13947	6909	4257	602	339	5670	2786
BeaslMi01 	81	2008	1123	439	83	121	957	452
BEATYZE01 	319	11328	6100	3716	526	530	4343	2328
BEATYZE01 	570	18348	9107	5949	839	0	7237	3396
BECKBY01  	53	480	250	96	33	0	246	107
BECKBY01  	694	18717	8353	5165	945	636	7049	3574
BECKCO01  	88	951	241	125	123	87	206	93
BECKEAR01 	414	10554	5160	2604	410	447	4408	2116
BECKEMO01 	43	0	162	0	30	0	358	70
BECKER01  	371	7054	2325	1191	669	0	2425	929
BEDELBO01 	269	4477	2257	1386	320	146	2075	878
BEDFOWI01 	238	2514	964	573	109	173	974	405
BEENDHA01 	111	0	935	0	53	0	1313	348
BEHAGRO01 	388	9131	3977	2712	624	189	3750	1594
BEHNKEL01 	4	55	16	17	4	0	22	6
BelinMa01 	75	1121	467	85	103	71	410	176
BELLAWA01 	1043	38940	20941	14241	2544	0	15340	7914
BELLCH01  	286	7590	2715	664	740	304	2406	1012
BELLDE01  	63	545	175	119	28	0	203	76
BELLRA01  	598	16738	6169	1610	1039	606	5246	2281
BELLTR01  	6	34	11	4	4	6	18	4
BELLWI01  	36	494	183	94	56	0	203	77
BEMORIR01 	131	2479	827	341	125	0	890	309
BENBOLE01 	115	1838	628	214	183	0	645	254
BENDEJO01 	237	3554	1335	530	154	230	1121	469
BENJABE01 	807	21911	9223	6063	1070	1847	7224	3588
BENJACO01 	153	2191	835	259	143	164	812	317
BENNEEL01 	21	159	48	10	22	20	47	16
BENNEMA01 	68	606	269	182	24	33	208	111
BENNEME01 	129	1532	498	426	107	65	439	152
BENNEME01 	75	2193	904	526	97	176	819	329
BENNETO01 	152	1886	538	155	303	93	536	221
BENNEWI01 	136	2157	648	414	120	115	604	257
BENNEWI02 	59	993	440	147	84	145	385	147
BENOIDA01 	492	9314	3455	1984	287	424	3051	1335
BENSOKE01 	680	15719	6168	3881	1203	1069	5224	2578
BERCEGE01 	3	0	10	0	2	0	16	5
BERGEGA01 	6	40	8	8	1	0	11	3
BERGHLA01 	20	255	121	85	18	0	120	49
BERRYRI01 	64	1406	706	197	80	82	567	255
BERRYWA01 	205	4863	2882	971	292	404	2227	1201
BESHODE01 	69	870	244	63	139	104	250	88
BESTTR01  	708	15149	5376	1249	2444	928	4642	2002
BIALOWE01 	70	1224	608	89	57	62	570	238
BIANCAL01 	687	13649	5550	1722	1497	0	5919	2212
BIASAHA01 	6	0	6	0	0	0	5	2
BIBBYHE01 	675	15475	5775	1581	2259	573	5073	2149
BIBBYMI01 	801	28919	13177	2665	4862	1923	11068	4859
BIEDEED01 	7	18	4	2	3	0	6	0
BIEDRAN01 	318	7697	2681	2598	320	360	1918	1159
BIELKDO01 	7	38	14	9	1	0	9	5
BIGELBO01 	94	762	234	111	42	18	220	91
BILLILI01 	46	1022	393	280	49	122	351	150
BILLUCH01 	837	26882	12614	2464	4669	1695	9219	3838
